Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,481948,133874,57,127,184,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,491409,136502,50,218,268,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mortlake South Wind Farm,F,VIC,1019352,283153,202,1128,1330,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,1025451,284847,99,1273,1372,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,1954964,543046,186,1114,1300,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,4973124,1381423,594,3860,4454,,-,-,-,-
ACEN AUSTRALIA PTY LTD,New England Solar Farm,F,NSW,2960424,822340,53,4108,4161,0,On,NEM,Solar,-
ACEN AUSTRALIA PTY LTD,Corporate Total,C,-,2960424,822340,53,4108,4161,,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,570193,158387,0,515,515,0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,570193,158387,0,515,515,,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,91763,25490,0,13,13,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,1025167,284769,163814,1911,165725,0.58,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,55966665,15546296,13678909,33810,13712719,0.88,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,193748,53819,0,698,698,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,386683,107412,83,283,366,0,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,161114,44754,0,48,48,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,155941,43317,0,197,197,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Coopers Gap Wind Farm,F,QLD,4628812,1285781,152,1045,1197,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,181919,50533,0,39,39,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,991662,275462,0,120,120,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,823286,228691,0,28,28,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,0,0,0,8,8,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,739126,205313,56,168,224,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,634702,176306,96,133,229,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1234242,342845,163,259,422,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,353783,98273,42,139,181,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,400412,111225,64886,72,64958,0.58,On,SWIS,Gas,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,56482712,15689642,18531075,192632,18723707,1.18,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,2356504,654584,4369,2771,7140,0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,294998,81944,0,1291,1291,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,820440,227900,156,580,736,0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,446157,123933,73,438,511,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,27991,7775,0,0,0,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,9557,2655,0,173,173,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,2151516,597643,80,472,552,0,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,124067,34463,26395,1244,27639,0.77,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,2254290,626192,370328,5859,376187,0.59,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,816386,226774,61,97,158,0,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,624142,173373,0,427,427,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,162386,45107,0,12,12,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,134540171,37372269,32840738,244967,33085705,,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,5470233,1519509,1191948,229,1192177,0.78,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,5470233,1519509,1191948,229,1192177,,-,-,-,-
PIONEER SAIL HOLDINGS PTY LIMITED,Bairnsdale Power Station,F,VIC,226096,62804,33601,529,34130,0.54,On,NEM,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Braemar Power Station,F,QLD,1059603,294334,171732,1803,173535,0.58,On,NEM,Coal Seam Methane,-
PIONEER SAIL HOLDINGS PTY LIMITED,Loy Yang B Power Station,F,VIC,30517219,8477005,9642473,1482,9643955,1.14,On,NEM,Brown Coal,-
PIONEER SAIL HOLDINGS PTY LIMITED,Wagerup Power Station,F,WA,2924375,812326,483711,2495,486206,0.6,On,SWIS,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Yandin Wind Farm,F,WA,3002694,834082,153,463,616,0,On,SWIS,Wind,-
PIONEER SAIL HOLDINGS PTY LIMITED,Corporate Total,C,-,37729987,10480552,10331670,6772,10338442,,-,-,-,-
AMP AUSTRALIA HOLDINGS PTY LTD,Hillston Sun Farm,F,NSW,694749,192986,75,902,977,0,On,NEM,Solar,-
AMP AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,694749,192986,75,902,977,,-,-,-,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Molong Solar Farm,F,NSW,115069,31963,37,458,495,0,On,NEM,Solar,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Corporate Total,C,-,115069,31963,37,458,495,,-,-,-,-
APA INFRASTRUCTURE LIMITED,Badgingarra Solar Farm,F,WA,146651,40736,2,42,44,0,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Badgingarra Wind Farm,F,WA,1761022,489173,25,239,264,0,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Darling Downs Solar Farm,F,QLD,757573,210437,12,608,620,0,On,NEM,Solar,-
APA INFRASTRUCTURE LIMITED,Diamantina Power Station,F,QLD,5425334,1507037,644543,149,644692,0.43,On,Mt Isa,Gas,-
APA INFRASTRUCTURE LIMITED,Dugald River Solar Farm,F,QLD,510571,141825,0,0,0,0,On,Mt Isa,Solar,-
APA INFRASTRUCTURE LIMITED,Emu Downs Solar Farm,F,WA,170586,47385,6,52,58,0,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Emu Downs Wind Farm,F,WA,898729,249647,47,214,261,0,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Newman Power Station,F,WA,3098532,860703,376230,0,376230,0.44,Off,Off-grid,Gas,-
APA INFRASTRUCTURE LIMITED,Port Hedland Power Station,F,WA,1618605,449612,340466,0,340466,0.76,On,NWIS,Gas,-
APA INFRASTRUCTURE LIMITED,Corporate Total,C,-,14387603,3996556,1361331,1304,1362635,,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,1296561,360156,209697,4459,214156,0.58,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,1296561,360156,209697,4459,214156,,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,273101,75862,53106,170,53276,0.7,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,1354334,376204,156932,2527,159459,0.42,On,NEM,Gas,-
