facility_name,state,year,primary_fuel,electricity_mwh,total_emissions,emission_intensity,reporting_entity,grid_connected
Albany Wind Farm,WA,2014,Wind,96556.0,20.0,0.00020713368407970504,Electricity Generation And Retail Corporation,Connected
Albury Renewable Energy Facility,NSW,2014,Landfill Gas,7994.0,435.0,0.05441581185889417,Lms Energy Pty Ltd,Connected
Alfred Hospital Cogeneration Plant,VIC,2014,Gas,15619.0,14459.0,0.9257314808886612,Momentum Energy Pty Limited,Connected
Alinta Pinjarra Generation Facility,WA,2014,Gas,1639092.0,1301966.0,0.7943214901909106,Alcoa Australian Holdings Pty Ltd,Connected
Alinta Wagerup Generation Facility,WA,2014,Gas/Diesel,176958.0,117661.0,0.6649091874908171,Alcoa Australian Holdings Pty Ltd,Connected
Alinta Wind Farm,WA,2014,Wind,330634.0,671.0,0.0020294343594427673,Infigen Energy Limited,Connected
Angaston Power Station,SA,2014,Liquid Fuel,1653.0,1464.0,0.8856624319419237,Snowy Hydro Limited,Connected
Anglesea Power Station,VIC,2014,Coal,1260261.0,1374769.0,1.0908605439666863,Alcoa Australian Holdings Pty Ltd,Connected
Appin Csm Power Station,NSW,2014,Coal Seam Methane,163584.0,124706.0,0.7623361697965572,Energy Developments Limited,Connected
Ardyaloon Remote Power Station,WA,2014,Liquid Fuel,1774.0,1275.0,0.7187147688838782,Energy Developments Limited,Disconnected
Atlas Renewable Energy Facility,WA,2014,Landfill Gas,4642.0,266.0,0.05730288668677294,Lms Energy Pty Ltd,Connected
Augusta Power Stations,SA,2014,Coal,2645721.0,2742407.0,1.0365442917072512,Alinta Energy Finance Pty Ltd,Connected
Australand,NSW,2014,Gas,1120.0,716.0,0.6392857142857142,Origin Energy Limited,Connected
Awaba Renewable Energy Facility,NSW,2014,Landfill Gas,9173.0,507.0,0.05527090373923471,Lms Energy Pty Ltd,Connected
Bairnsdale Power Station,VIC,2014,Gas,149821.0,82100.0,0.5479872648026645,Alinta Energy Finance Pty Ltd,Connected
Bald Hills Wind Farm,VIC,2014,Wind,65999.0,476.0,0.0072122304883407325,Mitsui & Co (Australia) Ltd,Connected
Ballarat Renewable Energy Facility,VIC,2014,Landfill Gas,5079.0,295.0,0.05808229966528844,Lms Energy Pty Ltd,Connected
Ballarat Solar Park,VIC,2014,Solar,183.0,2.0,0.01092896174863388,Origin Energy Limited,Connected
Banimboola Hydro,VIC,2014,Hydro,38082.0,22.0,0.0005777007510109763,Agl Energy Limited,Connected
Barron Gorge Power Station,QLD,2014,Hydro,173727.0,844.0,0.004858197056300978,Stanwell Corporation Limited,Connected
Bastyan Hydro Power Station,TAS,2014,Hydro,358255.0,221.0,0.0006168790386735705,Hydro-Electric Corporation,Connected
Bayswater Power Station,NSW,2014,Coal,13965430.0,12261429.0,0.8779843513590344,Agl Energy Limited,Connected
Bayswater Power Station,NSW,2014,Coal,3125250.0,2650584.0,0.8481190304775618,Macquarie Generation,Connected
Beagle Bay Remote Power Station,WA,2014,Liquid Fuel,1621.0,1151.0,0.7100555212831585,Energy Developments Limited,Disconnected
Belrose And Grange Avenue Lfg Power Stations,NSW,2014,Landfill Gas,12943.0,821.0,0.06343197094954801,Energy Developments Limited,Connected
Bendigo Renewable Energy Facility,VIC,2014,Solar,3916.0,225.0,0.05745658835546476,Lms Energy Pty Ltd,Connected
Bendigo Solar Park,VIC,2014,Solar,523.0,4.0,0.0076481835564053535,Origin Energy Limited,Connected
