facility_name,state,capacity_mw,primary_fuel,year,project_status,stage
"Laura Johnson Home, Townview",QLD,0.2265,Solar,2025,accredited,1
Leppington,NSW,0.732,Solar,2025,accredited,1
Quakers Hillside Care Community,NSW,0.1996,Solar,2025,accredited,1
Rest Nominees,VIC,0.1188,Solar,2025,accredited,1
Retail First Mt Ommaney,QLD,1.0004,Solar,2025,accredited,1
Woolworths HCFDC Heathwood,QLD,1.6721,Solar,2025,accredited,1
Woolworths Kings Meadow 7210,TAS,0.2926,Solar,2025,accredited,1
CLAYTON CHURCH HOMES INC,SA,0.1965,Solar,2025,accredited,1
Dalwood Children's Home,NSW,0.2465,Solar,2025,accredited,1
Haighs Proprietary Limited,SA,0.6265,Solar,2025,accredited,1
Lindt & Sprungli (Australia) Pty Ltd,NSW,1.0179,Solar,2025,accredited,1
Midfield Trading Solar W SGU,SA,0.6443,Solar,2025,accredited,1
Wilandra Farms Clydebank,VIC,0.155,Solar,2025,accredited,1
Balickera WPS,NSW,3.1158,Solar,2025,accredited,1
The Creeks Pipeline Company Ltd,SA,2.808,Solar,2025,accredited,1
Lai Industries,SA,0.5445,Solar,2025,accredited,1
CLAYTON CHURCH HOMES INC,SA,0.198,Solar,2025,accredited,1
Kerang Solar Plant,VIC,37.2874,Solar,2025,accredited,1
Red Valley Farms,QLD,0.3801,Solar,2025,accredited,1
Region Group Warnbro Central,WA,0.5736,Solar,2025,accredited,1
Southern Steel,VIC,0.2,Solar,2025,accredited,1
Southern Steel,SA,0.2498,Solar,2025,accredited,1
CLAYTON CHURCH HOMES INC,SA,0.2001,Solar,2025,accredited,1
AU186 Oakdale West 5B,NSW,0.15,Solar,2025,accredited,1
Carosue,WA,8.464,Solar,2025,accredited,1
Linfox Regency Park,SA,0.7,Solar,2025,accredited,1
PWR Hybrid Cataby,WA,9.558,Solar,2025,accredited,1
Blacktown Warehouse 1,NSW,0.2,Solar,2025,accredited,1
Blacktown Warehouse 2,NSW,0.2,Solar,2025,accredited,1
HCS,QLD,0.438,Solar,2025,accredited,1
Intertek Townsville,QLD,0.182,Solar,2025,accredited,1
ISLHD,NSW,0.281,Solar,2025,accredited,1
Region Group Treendale,WA,0.34,Solar,2025,accredited,1
Woolworths DC Moorebank RDC 7950,NSW,2.02,Solar,2025,accredited,1
Bunnings Padstow,NSW,0.28,Solar,2025,accredited,1
Five Star Seafoods,SA,0.189,Solar,2025,accredited,1
Morgan Sawmill,SA,0.199,Solar,2025,accredited,1
Northpoint Shopping Centre,QLD,0.298,Solar,2025,accredited,1
Ormeau,QLD,0.659,Solar,2025,accredited,1
Symbion,NSW,1.751,Solar,2025,accredited,1
AFS Cadell Balranald,NSW,4.827,Solar,2025,accredited,1
AU544 Interlink Estate,NSW,0.54,Solar,2025,accredited,1
BAE Williamtown,NSW,0.416,Solar,2025,accredited,1
Bunnings Greenacre,NSW,0.2,Solar,2025,accredited,1
Caloundra NMI 31173199012,QLD,0.228,Solar,2025,accredited,1
HMC Capital Marsden Park,NSW,0.24,Solar,2025,accredited,1
HMC Glenmore Park Shopping Centre,NSW,0.5,Solar,2025,accredited,1
Lambert Estate Wines Pty Ltd,SA,0.223,Solar,2025,accredited,1
Martin Brower Dandenong,VIC,0.625,Solar,2025,accredited,1
Mt Annan Christian College,NSW,0.22,Solar,2025,accredited,1
Scalabrini Chipping Norton,NSW,0.335,Solar,2025,accredited,1
Woolworths Darra 2695,QLD,0.25,Solar,2025,accredited,1
Woolworths Ingham 2723,QLD,0.275,Solar,2025,accredited,1
Woolworths Seaford 5646,SA,0.275,Solar,2025,accredited,1
MNCLHD Coffs Harbour Health Campus,NSW,1.323,Solar,2025,accredited,1
Tip Top Chullora,NSW,2.018,Solar,2025,accredited,1
OZLEMFOODSWA,QLD,0.443,Solar,2025,accredited,1
Somerville Gardens Care Community,VIC,0.24,Solar,2025,accredited,1
Big W Mildura 560,VIC,0.2,Solar,2025,accredited,1
Bunnings Maitland,NSW,0.24,Solar,2025,accredited,1
Clean Peak Energy,NSW,0.288,Solar,2025,accredited,1
Covenant Christian School,NSW,0.181,Solar,2025,accredited,1
EWH Food Services Kingsgrove,NSW,0.325,Solar,2025,accredited,1
Frasers Woolworths Liquor Warehouse,QLD,0.501,Solar,2025,accredited,1
"Scalabrini ""The Village"" Drummoyne",NSW,0.235,Solar,2025,accredited,1
Woolworths Katoomba 1787,NSW,0.275,Solar,2025,accredited,1
Agile Energy,QLD,0.2,Solar,2025,accredited,1
Aussie Pride Produce,VIC,0.148,Solar,2025,accredited,1
Campari,VIC,0.65,Solar,2025,accredited,1
Chep Pallets,SA,0.252,Solar,2025,accredited,1
"Heidke St, Avoca",QLD,0.198,Solar,2025,accredited,1
HNELHD Tamworth,NSW,1.063,Solar,2025,accredited,1
ISLHD Shoalhaven Hospital,NSW,0.5,Solar,2025,accredited,1
Kingspan Insulated Panels Pty Limited,NSW,0.16,Solar,2025,accredited,1
Ornatas Tasmanian Lobster Hatchery,QLD,0.158,Solar,2025,accredited,1
Goyder South Wind Farm 1B,SA,195.693,Wind,2025,accredited,1
Agile Energy,NSW,0.348,Solar,2025,accredited,1
ATCO Gas Australia Jandakot Microgrid,WA,0.301,Solar,2025,accredited,1
Caloundra NMI 3117361486,QLD,0.348,Solar,2025,accredited,1
City of Stirling (Administration Centre) – Solar w SGU,WA,0.47,Solar,2025,accredited,1
Concord Hospital,NSW,0.314,Solar,2025,accredited,1
CQFMS,QLD,0.307,Solar,2025,accredited,1
Mirvac Switchyards Building 2,NSW,0.2,Solar,2025,accredited,1
Seaford Central,SA,0.465,Solar,2025,accredited,1
Stockland Rockhampton Shopping Centre,QLD,2.673,Solar,2025,accredited,1
The Good Shepherd Home,QLD,0.314,Solar,2025,accredited,1
Waverley Valley Care Community,VIC,0.15,Solar,2025,accredited,1
B&J Greenacre,NSW,0.4,Solar,2025,accredited,1
Bunnings Eastgardens,NSW,0.34,Solar,2025,accredited,1
CH3059 Midwest Logistics Hub (INGH1),VIC,1.0,Solar,2025,accredited,1
"Macaulay Rd, Kensington",VIC,0.198,Solar,2025,accredited,1
MF Logistics Bvd,WA,0.781,Solar,2025,accredited,1
Mirvac Switchyards Building 6,NSW,0.2,Solar,2025,accredited,1
Oxley Grove Care Community,QLD,0.278,Solar,2025,accredited,1
Stubbo,NSW,520.393,Solar,2025,accredited,1
123 Sippy Downs,QLD,0.2,Solar,2025,accredited,1
Agile Energy,QLD,0.152,Solar,2025,accredited,1
Baked Provisions Sydney,NSW,0.2,Solar,2025,accredited,1
Chadstone Freshfood,VIC,0.733,Solar,2025,accredited,1
Mcdonald College,NSW,0.253,Solar,2025,accredited,1
Moe Newborough,VIC,0.189,Solar,2025,accredited,1
Nepean Hospital,NSW,0.52,Solar,2025,accredited,1
PFI Darra,QLD,0.246,Solar,2025,accredited,1
REMONDIS,NSW,0.551,Solar,2025,accredited,1
Story Fresh Produce,QLD,0.201,Solar,2025,accredited,1
TIP TOP Carrara,QLD,0.221,Solar,2025,accredited,1
Truganina,VIC,0.293,Solar,2025,accredited,1
UPS SCS Australia,NSW,0.4,Solar,2025,accredited,1
Petstock DC Avalon,VIC,0.4,Solar,2025,accredited,1
REMONDIS,SA,0.397,Solar,2025,accredited,1
BAE Systems Edinburgh Parks,SA,0.162,Solar,2025,accredited,1
Latrobe Leisure Morwell,VIC,0.214,Solar,2025,accredited,1
Acacia Ridge,QLD,0.444,Solar,2025,accredited,1
GPE_LYKA WELLNESS,VIC,0.499,Solar,2025,accredited,1
Greenlink 7,VIC,0.42,Solar,2025,accredited,1
IBIS Care,NSW,0.323,Solar,2025,accredited,1
Agile Energy,NSW,0.361,Solar,2025,accredited,1
Cairns Colonial Club,QLD,0.208,Solar,2025,accredited,1
CALABRIA FAMILY WINES PTY LTD,NSW,1.032,Solar,2025,accredited,1
Pikes Wines Pty Ltd,SA,0.2,Solar,2025,accredited,1
Region Group Currambine,WA,1.48,Solar,2025,accredited,1
Cubbie,QLD,3.44,Solar,2025,accredited,1
DHL Skyline,NSW,1.0,Solar,2025,accredited,1
Hendys Road Numurkah,VIC,6.162,Solar,2025,accredited,1
Woolworths Golden Grove (The Stables) 5632,SA,0.2,Solar,2025,accredited,1
Gregory Hills Hotel,NSW,0.2,Solar,2025,accredited,1
Moyhall,SA,8.203,Solar,2025,accredited,1
AU371,QLD,0.291,Solar,2025,accredited,1
Kerarbury Station Almond Orchard,NSW,6.004,Solar,2025,accredited,1
Steel Building Systems,SA,0.2,Solar,2025,accredited,1
Temperzone,NSW,0.36,Solar,2025,accredited,1
Cowboys HQ,QLD,0.264,Solar,2025,accredited,1
DUX MANUFACTURING LIMITED,NSW,0.4,Solar,2025,accredited,1
GPT Highpoint DJ,VIC,0.47,Solar,2025,accredited,1
Mercy Place Cairns,QLD,0.279,Solar,2025,accredited,1
Mirani Water Recycling Facility,QLD,0.17,Solar,2025,accredited,1
OPAL Bankstown Terrace Care Community,NSW,0.239,Solar,2025,accredited,1
OPAL Berkeley Care Community,NSW,0.169,Solar,2025,accredited,1
UCS Pakenham,VIC,0.177,Solar,2025,accredited,1
Armadale Shopping Centre 576kW,WA,0.576,Solar,2025,accredited,1
Armadale Shopping Centre 700kW,WA,0.704,Solar,2025,accredited,1
AU876 Rosehill Industrial Estate,NSW,0.764,Solar,2025,accredited,1
Mayfield Aged Care,NSW,0.192,Solar,2025,accredited,1
Westrac Tomago,NSW,1.663,Solar,2025,accredited,1
Wollar Solar Farm,NSW,346.248,Solar,2025,accredited,1
NEUMANN STEEL 1,QLD,1.517,Solar,2025,accredited,1
St Gregory's College Hall,NSW,0.199,Solar,2025,accredited,1
St Marys Sewage Treatment,NSW,1.7,Sewage Gas and Biomass-Based Components of Sewage,2025,accredited,1
Wentworthville Leagues Club Ltd,NSW,0.23,Solar,2025,accredited,1
Wentworthville Leagues Club Ltd System 2,NSW,0.23,Solar,2025,accredited,1
Westpork (Moora),WA,0.63,Agricultural Waste,2025,accredited,1
Across The Waves Sports Club Bundaberg,QLD,0.45,Solar,2025,accredited,1
HomeCo Toowoomba,QLD,0.14,Solar,2025,accredited,1
HomeCo Upper Coomera,QLD,0.23,Solar,2025,accredited,1
PLASTIC SOLUTIONS,VIC,0.359,Solar,2025,accredited,1
Clarke Creek Wind Farm,QLD,450.0,Wind,2025,accredited,1
Big Dog Pet Foods,QLD,0.662,Solar,2025,accredited,1
Doomadgee Solar Farm Stage 2,QLD,0.304,Solar,2025,accredited,1
MOKOAN SOLAR FARM,VIC,57.803,Solar,2025,accredited,1
Plainland,QLD,0.428,Solar,2025,accredited,1
Homeco Tingalpa,QLD,0.204,Solar,2025,accredited,1
Palmerston Golf & Country Club,NT,0.2,Solar,2025,accredited,1
Tip Top Dry Creek,SA,0.918,Solar,2025,accredited,1
Woolworths Kingston 7003,TAS,0.338,Solar,2025,accredited,1
Americold Hemmant 2,QLD,0.311,Solar,2025,accredited,1
Brisbane Lions,QLD,0.799,Solar,2025,accredited,1
Cairns Aquarium,QLD,0.4,Solar,2025,accredited,1
