facility_name,state,capacity_mw,primary_fuel,year,project_status,stage,latitude,longitude
"Laura Johnson Home, Townview",QLD,0.2265,Solar,2025,accredited,1,-20.7342326,139.5034862
Leppington,NSW,0.732,Solar,2025,accredited,1,-33.9773022,150.7834354
Quakers Hillside Care Community,NSW,0.1996,Solar,2025,accredited,1,-33.719511,150.891607
Rest Nominees,VIC,0.1188,Solar,2025,accredited,1,-36.9847807,143.3906074
Retail First Mt Ommaney,QLD,1.0004,Solar,2025,accredited,1,-27.5452429,152.9319813
Woolworths HCFDC Heathwood,QLD,1.6721,Solar,2025,accredited,1,-27.6348312,152.9917087
Woolworths Kings Meadow 7210,TAS,0.2926,Solar,2025,accredited,1,-41.9609817,147.6479099
CLAYTON CHURCH HOMES INC,SA,0.1965,Solar,2025,accredited,1,-30.0002315,136.2091547
Dalwood Children's Home,NSW,0.2465,Solar,2025,accredited,1,-32.6274801,151.4200826
Haighs Proprietary Limited,SA,0.6265,Solar,2025,accredited,1,-30.0002315,136.2091547
Lindt & Sprungli (Australia) Pty Ltd,NSW,1.0179,Solar,2025,accredited,1,-31.2532183,146.921099
Midfield Trading Solar W SGU,SA,0.6443,Solar,2025,accredited,1,-30.0002315,136.2091547
Wilandra Farms Clydebank,VIC,0.155,Solar,2025,accredited,1,-38.0413887,147.1644309
Balickera WPS,NSW,3.1158,Solar,2025,accredited,1,-32.660033,151.7971305
The Creeks Pipeline Company Ltd,SA,2.808,Solar,2025,accredited,1,-35.2964192,139.0414808
Lai Industries,SA,0.5445,Solar,2025,accredited,1,-30.0002315,136.2091547
CLAYTON CHURCH HOMES INC,SA,0.198,Solar,2025,accredited,1,-30.0002315,136.2091547
Kerang Solar Plant,VIC,37.2874,Solar,2025,accredited,1,-35.7350156,143.9202005
Red Valley Farms,QLD,0.3801,Solar,2025,accredited,1,-15.8501908,144.8558809
Region Group Warnbro Central,WA,0.5736,Solar,2025,accredited,1,-32.3352786,115.759399
Southern Steel,VIC,0.2,Solar,2025,accredited,1,-36.9847807,143.3906074
Southern Steel,SA,0.2498,Solar,2025,accredited,1,-35.1167257,138.4985418
CLAYTON CHURCH HOMES INC,SA,0.2001,Solar,2025,accredited,1,-30.0002315,136.2091547
AU186 Oakdale West 5B,NSW,0.15,Solar,2025,accredited,1,-34.0799357,150.5085739
Carosue,WA,8.464,Solar,2025,accredited,1,-30.1535719,122.3509579
Linfox Regency Park,SA,0.7,Solar,2025,accredited,1,-34.8556017,138.574467
PWR Hybrid Cataby,WA,9.558,Solar,2025,accredited,1,-30.7358429,115.5402388
Blacktown Warehouse 1,NSW,0.2,Solar,2025,accredited,1,-33.7660982,150.9126927
Blacktown Warehouse 2,NSW,0.2,Solar,2025,accredited,1,-33.7660982,150.9126927
HCS,QLD,0.438,Solar,2025,accredited,1,-22.575197,144.0847926
Intertek Townsville,QLD,0.182,Solar,2025,accredited,1,-19.2508005,146.7366226
ISLHD,NSW,0.281,Solar,2025,accredited,1,-34.4897544,150.8891201
Region Group Treendale,WA,0.34,Solar,2025,accredited,1,-27.6728168,121.6283098
Woolworths DC Moorebank RDC 7950,NSW,2.02,Solar,2025,accredited,1,-33.9343989,150.9347027
Bunnings Padstow,NSW,0.28,Solar,2025,accredited,1,-33.942003,151.035989
Five Star Seafoods,SA,0.189,Solar,2025,accredited,1,-38.0521157,140.7014793
Morgan Sawmill,SA,0.199,Solar,2025,accredited,1,-33.2022303,138.5729349
Northpoint Shopping Centre,QLD,0.298,Solar,2025,accredited,1,-27.5409914,151.9534338
Ormeau,QLD,0.659,Solar,2025,accredited,1,-27.7861892,153.2591207
Symbion,NSW,1.751,Solar,2025,accredited,1,-33.82294,150.92228
AFS Cadell Balranald,NSW,4.827,Solar,2025,accredited,1,-34.72095760000001,143.4989926
AU544 Interlink Estate,NSW,0.54,Solar,2025,accredited,1,-31.2532183,146.921099
BAE Williamtown,NSW,0.416,Solar,2025,accredited,1,-32.805961,151.837434
Bunnings Greenacre,NSW,0.2,Solar,2025,accredited,1,-33.90131909999999,151.0664275
Caloundra NMI 31173199012,QLD,0.228,Solar,2025,accredited,1,-26.8043999,153.1254643
HMC Capital Marsden Park,NSW,0.24,Solar,2025,accredited,1,-33.7121004,150.841952
HMC Glenmore Park Shopping Centre,NSW,0.5,Solar,2025,accredited,1,-33.7890704,150.668613
Lambert Estate Wines Pty Ltd,SA,0.223,Solar,2025,accredited,1,-34.5140317,139.0357497
Martin Brower Dandenong,VIC,0.625,Solar,2025,accredited,1,-38.0052446,145.2457329
Mt Annan Christian College,NSW,0.22,Solar,2025,accredited,1,-34.0487556,150.7760467
Scalabrini Chipping Norton,NSW,0.335,Solar,2025,accredited,1,-33.9222641,150.9515568
Woolworths Darra 2695,QLD,0.25,Solar,2025,accredited,1,-27.5613337,152.9568256
Woolworths Ingham 2723,QLD,0.275,Solar,2025,accredited,1,-18.6510538,146.1568444
Woolworths Seaford 5646,SA,0.275,Solar,2025,accredited,1,-35.1870338,138.4801681
MNCLHD Coffs Harbour Health Campus,NSW,1.323,Solar,2025,accredited,1,-30.3179835,153.0940034
Tip Top Chullora,NSW,2.018,Solar,2025,accredited,1,-33.8939895,151.0449829
OZLEMFOODSWA,QLD,0.443,Solar,2025,accredited,1,-22.575197,144.0847926
Somerville Gardens Care Community,VIC,0.24,Solar,2025,accredited,1,-38.224962,145.1669677
Big W Mildura 560,VIC,0.2,Solar,2025,accredited,1,-34.2084827,142.1421312
Bunnings Maitland,NSW,0.24,Solar,2025,accredited,1,-32.725282,151.54119
Clean Peak Energy,NSW,0.288,Solar,2025,accredited,1,-33.8363771,151.2077989
Covenant Christian School,NSW,0.181,Solar,2025,accredited,1,-33.7141672,151.21495
EWH Food Services Kingsgrove,NSW,0.325,Solar,2025,accredited,1,-33.944212,151.0928129
Frasers Woolworths Liquor Warehouse,QLD,0.501,Solar,2025,accredited,1,-22.575197,144.0847926
"Scalabrini ""The Village"" Drummoyne",NSW,0.235,Solar,2025,accredited,1,-33.8577411,151.1472001
Woolworths Katoomba 1787,NSW,0.275,Solar,2025,accredited,1,-33.7124469,150.3117701
Agile Energy,QLD,0.2,Solar,2025,accredited,1,-22.575197,144.0847926
Aussie Pride Produce,VIC,0.148,Solar,2025,accredited,1,-36.2712003,145.432345
Campari,VIC,0.65,Solar,2025,accredited,1,-36.9847807,143.3906074
Chep Pallets,SA,0.252,Solar,2025,accredited,1,-30.0002315,136.2091547
"Heidke St, Avoca",QLD,0.198,Solar,2025,accredited,1,-24.886416,152.3194594
HNELHD Tamworth,NSW,1.063,Solar,2025,accredited,1,-31.09003839999999,150.9293323
ISLHD Shoalhaven Hospital,NSW,0.5,Solar,2025,accredited,1,-35.0810677,150.4892292
Kingspan Insulated Panels Pty Limited,NSW,0.16,Solar,2025,accredited,1,-33.7417031,150.7677957
Ornatas Tasmanian Lobster Hatchery,QLD,0.158,Solar,2025,accredited,1,-22.575197,144.0847926
Goyder South Wind Farm 1B,SA,195.693,Wind,2025,accredited,1,-34.0537842,138.1995591
Agile Energy,NSW,0.348,Solar,2025,accredited,1,-33.8666739,151.2096645
ATCO Gas Australia Jandakot Microgrid,WA,0.301,Solar,2025,accredited,1,-32.1144409,115.8585662
