Code,Label,Year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)"
10,Major Cities of Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83830.0,1.72,36058.0,5.1
10,Major Cities of Australia,2019.0,6088337.0,1102.6,3024887.0,3063450.0,35.6,37.3,36.5,4066733.0,66.8,195033.0,198717.0,187017.0,183257.0,227567.0,247554.0,242794.0,230388.0,199661.0,199679.0,176261.0,175212.0,150494.0,127762.0,110965.0,75846.0,50671.0,46009.0,6.4,6.6,6.2,6.1,7.5,8.2,8.0,7.6,6.6,6.6,5.8,5.8,5.0,4.2,3.7,2.5,1.7,1.5,184224.0,187475.0,176324.0,171167.0,214533.0,243606.0,245389.0,229428.0,200818.0,204035.0,181467.0,181721.0,161702.0,139275.0,118844.0,84366.0,63705.0,75371.0,6.0,6.1,5.8,5.6,7.0,8.0,8.0,7.5,6.6,6.7,5.9,5.9,5.3,4.5,3.9,2.8,2.1,2.5,379257.0,386192.0,363341.0,354424.0,442100.0,491160.0,488183.0,459816.0,400479.0,403714.0,357728.0,356933.0,312196.0,267037.0,229809.0,160212.0,114376.0,121380.0,6.2,6.3,6.0,5.8,7.3,8.1,8.0,7.6,6.6,6.6,5.9,5.9,5.1,4.4,3.8,2.6,1.9,2.0,76939.0,1.7,37491.0,5.1
10,Major Cities of Australia,2020.0,6137535.0,1111.5,3048270.0,3089265.0,36.0,37.7,36.9,4080764.0,66.5,192747.0,198878.0,191880.0,181299.0,222376.0,243625.0,243954.0,235762.0,202266.0,200946.0,178586.0,176773.0,154293.0,130183.0,114679.0,79503.0,53115.0,47405.0,6.3,6.5,6.3,5.9,7.3,8.0,8.0,7.7,6.6,6.6,5.9,5.8,5.1,4.3,3.8,2.6,1.7,1.6,181958.0,187507.0,181052.0,169201.0,208366.0,239815.0,246618.0,235033.0,204129.0,204564.0,183939.0,182988.0,166231.0,143248.0,124077.0,88455.0,65674.0,76410.0,5.9,6.1,5.9,5.5,6.7,7.8,8.0,7.6,6.6,6.6,6.0,5.9,5.4,4.6,4.0,2.9,2.1,2.5,374705.0,386385.0,372932.0,350500.0,430742.0,483440.0,490572.0,470795.0,406395.0,405510.0,362525.0,359761.0,320524.0,273431.0,238756.0,167958.0,118789.0,123815.0,6.1,6.3,6.1,5.7,7.0,7.9,8.0,7.7,6.6,6.6,5.9,5.9,5.2,4.5,3.9,2.7,1.9,2.0,73972.0,1.68,35199.0,0.5
10,Major Cities of Australia,2021.0,6112572.0,1107.0,3035709.0,3076863.0,36.5,38.2,37.3,4037425.0,66.1,189804.0,198075.0,194604.0,178945.0,211582.0,232948.0,240441.0,237057.0,205959.0,197824.0,182677.0,175005.0,156779.0,130818.0,115924.0,83059.0,55023.0,49185.0,6.3,6.5,6.4,5.9,7.0,7.7,7.9,7.8,6.8,6.5,6.0,5.8,5.2,4.3,3.8,2.7,1.8,1.6,179094.0,186689.0,183466.0,167553.0,196538.0,228498.0,244155.0,236913.0,208525.0,200316.0,188563.0,179466.0,167681.0,144844.0,127134.0,92196.0,67119.0,78113.0,5.8,6.1,6.0,5.4,6.4,7.4,7.9,7.7,6.8,6.5,6.1,5.8,5.4,4.7,4.1,3.0,2.2,2.5,368898.0,384764.0,378070.0,346498.0,408120.0,461446.0,484596.0,473970.0,414484.0,398140.0,371240.0,354471.0,324460.0,275662.0,243058.0,175255.0,122142.0,127298.0,6.0,6.3,6.2,5.7,6.7,7.5,7.9,7.8,6.8,6.5,6.1,5.8,5.3,4.5,4.0,2.9,2.0,2.1,78630.0,1.64,37918.0,4.9
10,Major Cities of Australia,2022.0,6166301.0,1116.7,3062352.0,3103949.0,36.5,38.3,37.4,4072729.0,66.0,189509.0,196096.0,196526.0,186015.0,217310.0,234901.0,240538.0,236748.0,211093.0,193962.0,186916.0,171468.0,159278.0,132532.0,114126.0,88604.0,56424.0,50306.0,6.2,6.4,6.4,6.1,7.1,7.7,7.9,7.7,6.9,6.3,6.1,5.6,5.2,4.3,3.7,2.9,1.8,1.6,178976.0,185263.0,185286.0,173362.0,200067.0,228061.0,244395.0,238419.0,213762.0,197281.0,193530.0,176352.0,169271.0,146976.0,127079.0,98642.0,68393.0,78834.0,5.8,6.0,6.0,5.6,6.4,7.3,7.9,7.7,6.9,6.4,6.2,5.7,5.5,4.7,4.1,3.2,2.2,2.5,368485.0,381359.0,381812.0,359377.0,417377.0,462962.0,484933.0,475167.0,424855.0,391243.0,380446.0,347820.0,328549.0,279508.0,241205.0,187246.0,124817.0,129140.0,6.0,6.2,6.2,5.8,6.8,7.5,7.9,7.7,6.9,6.3,6.2,5.6,5.3,4.5,3.9,3.0,2.0,2.1,74698.0,1.63,42634.0,0.5
10,Major Cities of Australia,2023.0,6323830.0,1145.2,3142979.0,3181746.0,36.2,38.0,37.1,4206694.0,66.5,188613.0,194895.0,198780.0,195807.0,235270.0,251614.0,249993.0,240410.0,220313.0,192749.0,190973.0,168812.0,161985.0,135311.0,113845.0,93965.0,58023.0,51621.0,6.0,6.2,6.3,6.2,7.5,8.0,8.0,7.6,7.0,6.1,6.1,5.4,5.2,4.3,3.6,3.0,1.8,1.6,178193.0,184623.0,186958.0,181967.0,214752.0,244260.0,252401.0,243185.0,221982.0,196796.0,197406.0,174407.0,171612.0,149997.0,128557.0,104895.0,69805.0,79950.0,5.6,5.8,5.9,5.7,6.7,7.7,7.9,7.6,7.0,6.2,6.2,5.5,5.4,4.7,4.0,3.3,2.2,2.5,366806.0,379518.0,385738.0,377774.0,450022.0,495874.0,502394.0,483595.0,442295.0,389545.0,388379.0,343219.0,333597.0,285308.0,242402.0,198860.0,127828.0,131571.0,5.8,6.0,6.1,6.0,7.1,7.8,7.9,7.6,7.0,6.2,6.1,5.4,5.3,4.5,3.8,3.1,2.0,2.1,69881.0,1.58,39643.0,5.1
10,Major Cities of Australia,2024.0,6443689.0,1166.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Inner Regional Australia,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18221.0,2.01,13662.0,5.8
11,Inner Regional Australia,2019.0,1543589.0,16.5,764254.0,779335.0,41.9,44.1,43.0,925916.0,60.0,45605.0,49579.0,51291.0,48410.0,43938.0,44150.0,42690.0,41752.0,40531.0,47782.0,45871.0,52371.0,51347.0,49204.0,44233.0,30283.0,19420.0,15797.0,6.0,6.5,6.7,6.3,5.7,5.8,5.6,5.5,5.3,6.3,6.0,6.9,6.7,6.4,5.8,4.0,2.5,2.1,42703.0,47023.0,48323.0,44916.0,41702.0,43633.0,43283.0,43378.0,42676.0,50005.0,48737.0,54942.0,53802.0,50280.0,44627.0,31867.0,22527.0,24911.0,5.5,6.0,6.2,5.8,5.4,5.6,5.6,5.6,5.5,6.4,6.3,7.0,6.9,6.5,5.7,4.1,2.9,3.2,88308.0,96602.0,99614.0,93326.0,85640.0,87783.0,85973.0,85130.0,83207.0,97787.0,94608.0,107313.0,105149.0,99484.0,88860.0,62150.0,41947.0,40708.0,5.7,6.3,6.5,6.0,5.5,5.7,5.6,5.5,5.4,6.3,6.1,7.0,6.8,6.4,5.8,4.0,2.7,2.6,17083.0,2.02,14487.0,5.8
11,Inner Regional Australia,2020.0,1559150.0,16.7,772421.0,786729.0,42.3,44.5,43.4,928821.0,59.6,45115.0,49440.0,52031.0,48126.0,42863.0,43889.0,43777.0,42867.0,40392.0,47589.0,46265.0,51954.0,52742.0,50325.0,46306.0,32078.0,20502.0,16160.0,5.8,6.4,6.7,6.2,5.5,5.7,5.7,5.5,5.2,6.2,6.0,6.7,6.8,6.5,6.0,4.2,2.7,2.1,42320.0,46432.0,49214.0,44400.0,40351.0,43544.0,44147.0,44337.0,42634.0,49409.0,48893.0,54901.0,55741.0,51886.0,46556.0,33439.0,23333.0,25192.0,5.4,5.9,6.3,5.6,5.1,5.5,5.6,5.6,5.4,6.3,6.2,7.0,7.1,6.6,5.9,4.3,3.0,3.2,87435.0,95872.0,101245.0,92526.0,83214.0,87433.0,87924.0,87204.0,83026.0,96998.0,95158.0,106855.0,108483.0,102211.0,92862.0,65517.0,43835.0,41352.0,5.6,6.1,6.5,5.9,5.3,5.6,5.6,5.6,5.3,6.2,6.1,6.9,7.0,6.6,6.0,4.2,2.8,2.7,16706.0,2.02,13600.0,5.7
